08:07:39.635250 [INFO] === Test execution started ===
08:07:39.635262 [INFO] Output directory: reports/2026-08-26_08-07-39
08:07:39.635265 [INFO] Platform: 
08:07:39.635267 [INFO] Driver: uiautomator2
08:07:39.640346 [INFO] Validated 5 flow(s)
08:07:39.640377 [INFO] Single device execution mode
08:08:01.970148 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.992662 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.016546 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.044954 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.085190 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.120862 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.148609 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.214008 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.235442 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.260531 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.272299 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.290080 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.306680 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.319683 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.333622 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.347169 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.360975 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.374602 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.390078 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.402945 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.430616 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.462668 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.480845 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.497331 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.514934 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.538265 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.552036 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.566933 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.581100 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.602103 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.617748 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.644230 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:02.666247 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
